Device,Test Name,Test Status,Message(s),Test description,Test category
dc1-brdr1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
dc1-brdr1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
dc1-brdr1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
dc1-brdr1,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc1-brdr1,VerifyReachability,success,,Verifies VTEP fabric-wide underlay reachability.,Connectivity
dc1-brdr1,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc1-brdr1,VerifyReachability,success,,Verifies reachability to BGP neighbors.,Connectivity
dc1-brdr1,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
dc1-brdr1,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
dc1-brdr1,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
dc1-brdr1,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
dc1-brdr1,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc1-brdr1,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
dc1-brdr1,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
dc1-brdr1,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
dc1-brdr1,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
dc1-brdr1,VerifyIPv4RoutePresencePerVRF,success,,Verifies that the provided IPv4 prefixes are present in the routing table.,Routing
dc1-brdr1,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
dc1-brdr1,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
dc1-brdr1,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
dc1-brdr1,VerifyCoredump,success,,Verifies there are no core dump files.,System
dc1-brdr1,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
dc1-brdr1,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
dc1-brdr1,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
dc1-brdr1,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
dc1-brdr1,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
dc1-brdr2,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
dc1-brdr2,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
dc1-brdr2,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
dc1-brdr2,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc1-brdr2,VerifyReachability,success,,Verifies VTEP fabric-wide underlay reachability.,Connectivity
dc1-brdr2,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc1-brdr2,VerifyReachability,success,,Verifies reachability to BGP neighbors.,Connectivity
dc1-brdr2,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
dc1-brdr2,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
